gender,visited_reef,NRM code,Threat,Threat_Score
Female,No,Burdekin,Agricultural Runoff,4.428571428571429
Female,No,Burdekin,Climate Change,3.857142857142857
Female,No,Burdekin,Coastal Development,3.857142857142857
Female,No,Burdekin,Crown of Thorns,4.904761904761905
Female,No,Burdekin,Extreme Weather,4.0476190476190474
Female,No,Burdekin,Fishing,4.380952380952381
Female,No,Burdekin,Management/Regulation,5.380952380952381
Female,No,Burdekin,Marine Debris/Rubbish,4.428571428571429
Female,No,Burdekin,Mining,4.714285714285714
Female,No,Burdekin,Population Growth,3.857142857142857
Female,No,Burdekin,Ports and Shipping,4.428571428571429
Female,No,Burdekin,Tourism,3.0
Female,No,Burdekin,threat_bleaching,4.142857142857143
Female,No,Burdekin,threat_heatwaves,4.285714285714286
Female,No,Burnett Mary,Agricultural Runoff,4.5
Female,No,Burnett Mary,Climate Change,4.05
Female,No,Burnett Mary,Coastal Development,4.35
Female,No,Burnett Mary,Crown of Thorns,5.15
Female,No,Burnett Mary,Extreme Weather,3.7
Female,No,Burnett Mary,Fishing,4.375
Female,No,Burnett Mary,Management/Regulation,4.2
Female,No,Burnett Mary,Marine Debris/Rubbish,4.4
Female,No,Burnett Mary,Mining,4.9
Female,No,Burnett Mary,Population Growth,3.875
Female,No,Burnett Mary,Ports and Shipping,4.45
Female,No,Burnett Mary,Tourism,3.525
Female,No,Burnett Mary,threat_bleaching,4.575
Female,No,Burnett Mary,threat_heatwaves,4.275
Female,No,Fitzroy,Agricultural Runoff,4.083333333333333
Female,No,Fitzroy,Climate Change,4.333333333333333
Female,No,Fitzroy,Coastal Development,3.7916666666666665
Female,No,Fitzroy,Crown of Thorns,4.583333333333333
Female,No,Fitzroy,Extreme Weather,3.8333333333333335
Female,No,Fitzroy,Fishing,4.083333333333333
Female,No,Fitzroy,Management/Regulation,3.75
Female,No,Fitzroy,Marine Debris/Rubbish,4.208333333333333
Female,No,Fitzroy,Mining,3.625
Female,No,Fitzroy,Population Growth,3.2916666666666665
Female,No,Fitzroy,Ports and Shipping,3.6666666666666665
Female,No,Fitzroy,Tourism,3.0833333333333335
Female,No,Fitzroy,threat_bleaching,4.166666666666667
Female,No,Fitzroy,threat_heatwaves,4.125
Female,No,Mackay Whitsunday,Agricultural Runoff,4.75
Female,No,Mackay Whitsunday,Climate Change,4.0
Female,No,Mackay Whitsunday,Coastal Development,5.0
Female,No,Mackay Whitsunday,Crown of Thorns,4.5
Female,No,Mackay Whitsunday,Extreme Weather,4.5
Female,No,Mackay Whitsunday,Fishing,4.5
Female,No,Mackay Whitsunday,Management/Regulation,4.75
Female,No,Mackay Whitsunday,Marine Debris/Rubbish,5.0
Female,No,Mackay Whitsunday,Mining,4.5
Female,No,Mackay Whitsunday,Population Growth,4.75
Female,No,Mackay Whitsunday,Ports and Shipping,4.5
Female,No,Mackay Whitsunday,Tourism,4.5
Female,No,Mackay Whitsunday,threat_bleaching,4.75
Female,No,Mackay Whitsunday,threat_heatwaves,4.25
Female,No,Wet Tropics,Agricultural Runoff,6.333333333333333
Female,No,Wet Tropics,Climate Change,3.8333333333333335
Female,No,Wet Tropics,Coastal Development,4.166666666666667
Female,No,Wet Tropics,Crown of Thorns,6.0
Female,No,Wet Tropics,Extreme Weather,3.5
Female,No,Wet Tropics,Fishing,4.166666666666667
Female,No,Wet Tropics,Management/Regulation,3.5
Female,No,Wet Tropics,Marine Debris/Rubbish,4.333333333333333
Female,No,Wet Tropics,Mining,4.5
Female,No,Wet Tropics,Population Growth,4.333333333333333
Female,No,Wet Tropics,Ports and Shipping,3.6666666666666665
