time,latitude,longitude,chlor_a (mg m-3)
2003-01-16T12:00:00Z,-24.00,151.00,0.87
2003-01-16T12:00:00Z,-24.00,152.00,0.29
2003-01-16T12:00:00Z,-24.00,153.00,0.13
2003-01-16T12:00:00Z,-24.00,154.00,0.10
2003-01-16T12:00:00Z,-23.00,151.00,0.64
2003-01-16T12:00:00Z,-23.00,152.00,0.28
2003-01-16T12:00:00Z,-23.00,153.00,0.14
2003-01-16T12:00:00Z,-23.00,154.00,0.09
2003-01-16T12:00:00Z,-22.00,150.00,0.56
2003-01-16T12:00:00Z,-22.00,151.00,0.34
2003-01-16T12:00:00Z,-22.00,152.00,0.30
2003-01-16T12:00:00Z,-22.00,153.00,0.16
2003-01-16T12:00:00Z,-22.00,154.00,0.08
2003-01-16T12:00:00Z,-21.00,149.00,0.72
2003-01-16T12:00:00Z,-21.00,150.00,0.39
2003-01-16T12:00:00Z,-21.00,151.00,0.44
2003-01-16T12:00:00Z,-21.00,152.00,0.21
2003-01-16T12:00:00Z,-21.00,153.00,0.09
2003-01-16T12:00:00Z,-21.00,154.00,0.05
2003-01-16T12:00:00Z,-20.00,148.00,0.63
2003-01-16T12:00:00Z,-20.00,149.00,0.39
2003-01-16T12:00:00Z,-20.00,150.00,0.39
2003-01-16T12:00:00Z,-20.00,151.00,0.16
2003-01-16T12:00:00Z,-20.00,152.00,0.06
2003-01-16T12:00:00Z,-20.00,153.00,0.05
2003-01-16T12:00:00Z,-20.00,154.00,0.05
2003-01-16T12:00:00Z,-19.00,146.00,1.04
2003-01-16T12:00:00Z,-19.00,147.00,0.69
2003-01-16T12:00:00Z,-19.00,148.00,0.24
2003-01-16T12:00:00Z,-19.00,149.00,0.16
2003-01-16T12:00:00Z,-19.00,150.00,0.06
2003-01-16T12:00:00Z,-19.00,151.00,0.05
2003-01-16T12:00:00Z,-19.00,152.00,0.07
2003-01-16T12:00:00Z,-19.00,153.00,0.05
2003-01-16T12:00:00Z,-19.00,154.00,0.05
2003-01-16T12:00:00Z,-18.00,146.00,0.83
2003-01-16T12:00:00Z,-18.00,147.00,0.20
2003-01-16T12:00:00Z,-18.00,148.00,0.07
2003-01-16T12:00:00Z,-18.00,149.00,0.06
2003-01-16T12:00:00Z,-18.00,150.00,0.06
2003-01-16T12:00:00Z,-18.00,151.00,0.06
2003-01-16T12:00:00Z,-18.00,152.00,0.05
2003-01-16T12:00:00Z,-18.00,153.00,0.05
2003-01-16T12:00:00Z,-18.00,154.00,0.05
2003-01-16T12:00:00Z,-17.00,146.00,0.44
2003-01-16T12:00:00Z,-17.00,147.00,0.08
2003-01-16T12:00:00Z,-17.00,148.00,0.06
2003-01-16T12:00:00Z,-17.00,149.00,0.06
2003-01-16T12:00:00Z,-17.00,150.00,0.07
2003-01-16T12:00:00Z,-17.00,151.00,0.07
2003-01-16T12:00:00Z,-17.00,152.00,0.08
2003-01-16T12:00:00Z,-17.00,153.00,0.05
2003-01-16T12:00:00Z,-17.00,154.00,0.05
2003-01-16T12:00:00Z,-16.00,145.00,0.45
2003-01-16T12:00:00Z,-16.00,146.00,0.18
2003-01-16T12:00:00Z,-16.00,147.00,0.05
2003-01-16T12:00:00Z,-16.00,148.00,0.06
2003-01-16T12:00:00Z,-16.00,149.00,0.06
2003-01-16T12:00:00Z,-16.00,150.00,0.06
2003-01-16T12:00:00Z,-16.00,151.00,0.06
2003-01-16T12:00:00Z,-16.00,152.00,0.05
2003-01-16T12:00:00Z,-16.00,153.00,0.05
2003-01-16T12:00:00Z,-16.00,154.00,0.05
2003-01-16T12:00:00Z,-15.00,145.00,0.52
2003-01-16T12:00:00Z,-15.00,146.00,0.12
2003-01-16T12:00:00Z,-15.00,147.00,0.06
2003-01-16T12:00:00Z,-15.00,148.00,0.06
2003-01-16T12:00:00Z,-15.00,149.00,0.06
2003-01-16T12:00:00Z,-15.00,150.00,0.07
2003-01-16T12:00:00Z,-15.00,151.00,0.05
2003-01-16T12:00:00Z,-15.00,152.00,0.06
2003-01-16T12:00:00Z,-15.00,153.00,0.06
2003-01-16T12:00:00Z,-15.00,154.00,0.06
2003-01-16T12:00:00Z,-14.00,144.00,0.54
2003-01-16T12:00:00Z,-14.00,145.00,0.18
2003-01-16T12:00:00Z,-14.00,146.00,0.07
2003-01-16T12:00:00Z,-14.00,147.00,0.08
2003-01-16T12:00:00Z,-14.00,148.00,0.07
2003-01-16T12:00:00Z,-14.00,149.00,0.07
2003-01-16T12:00:00Z,-14.00,150.00,0.07
2003-01-16T12:00:00Z,-14.00,151.00,0.07
2003-01-16T12:00:00Z,-14.00,152.00,0.06
2003-01-16T12:00:00Z,-14.00,153.00,0.06
2003-01-16T12:00:00Z,-14.00,154.00,0.06
2003-01-16T12:00:00Z,-13.00,143.00,1.03
2003-01-16T12:00:00Z,-13.00,144.00,0.24
2003-01-16T12:00:00Z,-13.00,145.00,0.08
2003-01-16T12:00:00Z,-13.00,146.00,0.06
2003-01-16T12:00:00Z,-13.00,147.00,0.06
2003-01-16T12:00:00Z,-13.00,148.00,0.07
2003-01-16T12:00:00Z,-13.00,149.00,0.08
2003-01-16T12:00:00Z,-13.00,150.00,0.08
2003-01-16T12:00:00Z,-13.00,151.00,0.08
2003-01-16T12:00:00Z,-13.00,152.00,0.08
2003-01-16T12:00:00Z,-13.00,153.00,0.07
2003-01-16T12:00:00Z,-13.00,154.00,0.07
2003-01-16T12:00:00Z,-12.00,143.00,0.60
2003-01-16T12:00:00Z,-12.00,144.00,0.26
2003-01-16T12:00:00Z,-12.00,145.00,0.08
2003-01-16T12:00:00Z,-12.00,146.00,0.07
2003-01-16T12:00:00Z,-12.00,147.00,0.06
2003-01-16T12:00:00Z,-12.00,148.00,0.06
2003-01-16T12:00:00Z,-12.00,149.00,0.06
2003-01-16T12:00:00Z,-12.00,150.00,0.09
2003-01-16T12:00:00Z,-12.00,151.00,0.10
2003-01-16T12:00:00Z,-12.00,152.00,0.09
2003-01-16T12:00:00Z,-12.00,153.00,0.11
2003-01-16T12:00:00Z,-12.00,154.00,0.12
2003-01-16T12:00:00Z,-11.00,142.00,1.21
