Region,Activity,Participation_Rate
Burdekin,Offshore Fishing,36.4
Burnett Mary,Offshore Fishing,21.2
Cape York,Offshore Fishing,78.6
Fitzroy,Offshore Fishing,36.3
Mackay Whitsunday,Offshore Fishing,47.3
Wet Tropics,Offshore Fishing,35.8
Burdekin,Boating (Owned),45.3
Burnett Mary,Boating (Owned),24.6
Cape York,Boating (Owned),85.7
Fitzroy,Boating (Owned),44.2
Mackay Whitsunday,Boating (Owned),54.5
Wet Tropics,Boating (Owned),47.0
Burdekin,Diving / Snorkelling,54.7
Burnett Mary,Diving / Snorkelling,41.3
Cape York,Diving / Snorkelling,85.7
Fitzroy,Diving / Snorkelling,53.9
Mackay Whitsunday,Diving / Snorkelling,59.1
Wet Tropics,Diving / Snorkelling,65.0
Burdekin,Island Visits,59.8
Burnett Mary,Island Visits,35.0
Cape York,Island Visits,71.4
Fitzroy,Island Visits,52.8
Mackay Whitsunday,Island Visits,56.3
Wet Tropics,Island Visits,58.1
Burdekin,Beach Visits,76.9
Burnett Mary,Beach Visits,50.7
Cape York,Beach Visits,100.0
Fitzroy,Beach Visits,67.0
Mackay Whitsunday,Beach Visits,78.9
Wet Tropics,Beach Visits,80.2
